STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC  : Min,TEMPERATURE ºC  : Max,TEMPERATURE ºC  : Mean,D.O. (mg/l)  : Min  : > 4 mg/l,D.O. (mg/l)  : Max  : > 4 mg/l,D.O. (mg/l)  : Mean  : > 4 mg/l,pH  : Min  : 6.5-8.5,pH  : Max  : 6.5-8.5,pH  : Mean  : 6.5-8.5,CONDUCTIVITY (µmhos/cm)  : Min,CONDUCTIVITY (µmhos/cm)  : Max,CONDUCTIVITY (µmhos/cm)  : Mean,B.O.D. (mg/l)  : Min  : < 3 mg/l,B.O.D. (mg/l)  : Max  : < 3 mg/l,B.O.D. (mg/l)  : Mean  : < 3 mg/l,NITRATE- N+ NITRITE-N (mg/l)  : Min,NITRATE- N+ NITRITE-N (mg/l)  : Max,NITRATE- N+ NITRITE-N (mg/l)  : Mean,FECAL COLIFORM (MPN/100ml)  : Min  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Max  : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml)  : Mean  : < 2500 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Min  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Max  : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml)  : Mean  : < 5000 MPN/100ml
1307,"CHUNT KOL * (MAULANA AZAD BRIDGE), J&K",JAMMU & KASHMIR,4,6,5,3.1,3.8,3.5,7.2,7.4,7.3,462,469,466,NA,NA,NA,0.72,1.03,1,NA,NA,NA,NA,NA,NA
1306,"GAWKADAL, SRG *(SHERGHARI, SRG),J&K",JAMMU & KASHMIR,2,4,3,7.7,7.8,7.8,7.5,7.6,7.6,232,500,366,NA,NA,NA,1.59,2.08,2,NA,NA,NA,NA,NA,NA
1304,"JHELAM AT ANANTNAG D/S, J&K",JAMMU & KASHMIR,2,7,4.5,7.6,7.9,7.8,7.5,7.9,7.7,299,425,362,NA,NA,NA,0.38,0.45,0.42,NA,NA,NA,NA,NA,NA
3274,JHELUM AT AWANTIPORA,JAMMU & KASHMIR,1,4,2.5,8.4,9,8.7,7.8,7.9,7.8,244,379,312,NA,NA,NA,0.72,1.05,1,NA,NA,NA,NA,NA,NA
3275,JHELUM AT PAMPORE,JAMMU & KASHMIR,1,6,3.5,7.9,8,8,7.8,7.9,7.8,249,381,315,NA,NA,NA,0.51,1.56,1,NA,NA,NA,NA,NA,NA
2755,"BANGANGA (BATHING GHAT),KATRA,J&K",JAMMU & KASHMIR,10,24,16.5,6.2,8.4,7.6,7.4,8.2,7.7,290,540,394,2,9,4.1,0.03,1.48,1,NA,NA,NA,NA,NA,NA
2756,"BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE)KATRA,J&K",JAMMU & KASHMIR,11,26,17,5.5,9,7,7.7,8.1,7.9,108,658,375,2.6,19,7.2,0.26,1.59,1,NA,NA,NA,NA,NA,NA
2752,"BASANTER AT SAMBA (BELOW NH-1A BRIDGE), BASANTAR US (R.H.S),J&K",JAMMU & KASHMIR,16,27,20.7,7.6,9.3,8.6,7.8,8.5,8.1,272,300,284,1.2,3,2.1,0.064,0.09,0,NA,NA,NA,NA,NA,NA
2753,"BASANTER AT SAMBA (AT CHAK MANGA GUJJAR BASANTAR) D/S(R.H.S.), J&K",JAMMU & KASHMIR,16,27,20.7,6.4,7.8,7.1,6.8,7.8,7.3,260,330,303,2.4,6,4.2,0.51,1.23,1,NA,NA,NA,NA,NA,NA
2748,"CHENAB AT L.H.S.(BELOW BRIDGE CHENAB),J&K",JAMMU & KASHMIR,9,18,13.8,7.4,10.5,8.8,7.2,7.8,7.5,120,260,197,0,1,0.5,0.011,0.03,0,NA,NA,NA,NA,NA,NA
